device_id,heartbeat_ts,mv_in,ma_in
6,2025-04-27 14:29:09.728000 UTC,28000,6400
6,2025-04-27 14:29:41.686000 UTC,30000,6300
6,2025-04-27 14:29:42.189000 UTC,30000,6300
6,2025-04-27 14:30:09.850000 UTC,26000,6000
6,2025-04-27 14:30:40.053000 UTC,30000,4599
6,2025-04-27 14:31:09.850000 UTC,30000,3700
6,2025-04-27 14:31:39.847000 UTC,28000,6000
6,2025-04-27 14:32:09.851000 UTC,30000,5900
6,2025-04-27 14:32:39.956000 UTC,28000,5500
6,2025-04-27 14:33:09.959000 UTC,28000,5599
6,2025-04-27 14:33:39.967000 UTC,28000,6000
6,2025-04-27 14:34:10.072000 UTC,28000,5099
6,2025-04-27 14:34:40.072000 UTC,28000,6300
6,2025-04-27 14:35:10.075000 UTC,28000,6599
6,2025-04-27 14:35:40.080000 UTC,28000,6199
6,2025-04-27 14:36:10.184000 UTC,28000,2700
6,2025-04-27 14:36:40.187000 UTC,28000,2299
6,2025-04-27 14:37:10.190000 UTC,28000,2400
6,2025-04-27 14:37:40.296000 UTC,28000,2400
6,2025-04-27 14:38:10.301000 UTC,30000,3200
6,2025-04-27 14:38:40.302000 UTC,30000,3099
6,2025-04-27 14:39:10.408000 UTC,28000,4199
6,2025-04-27 14:39:40.412000 UTC,30000,5900
6,2025-04-27 14:40:10.415000 UTC,30000,4599
6,2025-04-27 14:40:40.420000 UTC,28000,6800
6,2025-04-27 14:41:10.524000 UTC,28000,2599
6,2025-04-27 14:41:40.529000 UTC,28000,2299
6,2025-04-27 14:42:10.534000 UTC,30000,2299
6,2025-04-27 14:42:40.635000 UTC,28000,2900
6,2025-04-27 14:43:10.639000 UTC,28000,4099
6,2025-04-27 14:43:40.642000 UTC,30000,5000
6,2025-04-27 14:44:10.645000 UTC,30000,5500
6,2025-04-27 14:44:40.754000 UTC,28000,5900
6,2025-04-27 14:45:10.758000 UTC,28000,2599
6,2025-04-27 14:45:40.758000 UTC,30000,1799
6,2025-04-27 14:46:10.761000 UTC,28000,1899
6,2025-04-27 14:46:40.869000 UTC,28000,1899
6,2025-04-27 14:47:10.870000 UTC,28000,1899
6,2025-04-27 14:47:40.873000 UTC,28000,1899
6,2025-04-27 14:48:10.979000 UTC,28000,1899
6,2025-04-27 14:48:40.982000 UTC,28000,1899
6,2025-04-27 14:49:11.000000 UTC,30000,1899
6,2025-04-27 14:49:40.988000 UTC,30000,2099
6,2025-04-27 14:50:11.108000 UTC,26000,6599
6,2025-04-27 14:50:41.108000 UTC,28000,7099
6,2025-04-27 14:51:11.100000 UTC,30000,4800
6,2025-04-27 14:51:41.206000 UTC,28000,1799
